,zip,count,city,lat,long
0,11226,1891,Brooklyn,-73.95553,40.645256
1,10453,1797,Bronx,-73.91214,40.853017
2,10458,1623,Bronx,-73.88881,40.864166
3,11221,1492,Brooklyn,-73.92637,40.691234
4,11233,1484,Brooklyn,-73.91858,40.676938
5,10457,1474,Bronx,-73.89861,40.846745
6,10468,1380,Bronx,-73.89916,40.867107
7,11207,1367,Brooklyn,-73.89424,40.670874
8,10467,1366,Bronx,-73.86937,40.872265
9,10456,1315,Bronx,-73.90856,40.829676
10,10452,1189,Bronx,-73.92234,40.838745
11,11213,1189,Brooklyn,-73.93459,40.670937
12,10031,1055,New York,-73.94879,40.826201
13,10032,1048,New York,-73.94154,40.840686
14,10459,951,Bronx,-73.89327,40.825432
15,11225,935,Brooklyn,-73.95509,40.662892
16,11212,933,Brooklyn,-73.91328,40.662191
17,11237,914,Brooklyn,-73.91993,40.703355
18,10460,903,Bronx,-73.88036,40.84095
19,10472,900,Bronx,-73.86845,40.830409
20,11216,875,Brooklyn,-73.94824,40.680398
21,11203,838,Brooklyn,-73.93304,40.649059
22,10033,812,New York,-73.93496,40.848764
23,10451,781,Bronx,-73.9223,40.819729
24,10027,687,New York,-73.95499,40.812665
25,11208,672,Brooklyn,-73.87248,40.672666
26,10040,659,New York,-73.92853,40.858704
27,10030,608,New York,-73.94351,40.818151
28,10466,604,Bronx,-73.84702,40.89095
29,11238,591,Brooklyn,-73.96257,40.680145
30,10034,576,New York,-73.92,40.867653
31,11215,567,Brooklyn,-73.9856,40.667508
32,11220,538,Brooklyn,-74.01574,40.641436
33,10462,523,Bronx,-73.85862,40.842173
34,10035,510,New York,-73.93359,40.802395
35,11206,498,Brooklyn,-73.94288,40.702348
36,10455,455,Bronx,-73.90771,40.815559
37,11218,441,Brooklyn,-73.97595,40.644552
38,11385,418,Ridgewood,-73.89285,40.703069
39,11230,404,Brooklyn,-73.96427,40.622994
40,11214,402,Brooklyn,-73.99611,40.598994
41,10454,393,Bronx,-73.91628,40.805968
42,10026,384,New York,-73.95471,40.802853
43,11204,376,Brooklyn,-73.98473,40.618944
44,10025,352,New York,-73.96811,40.798502
45,10463,329,Bronx,-73.90749,40.881086
46,10029,309,New York,-73.94575,40.791586
47,11211,304,Brooklyn,-73.95427,40.71209
48,11222,262,Brooklyn,-73.94559,40.726302
49,11210,261,Brooklyn,-73.94552,40.627946
50,10039,253,New York,-73.9371,40.826181
51,11232,253,Brooklyn,-74.00424,40.655481
52,11691,246,Far Rockaway,-73.75962,40.60002
53,11367,240,Flushing,-73.82145,40.728614
54,11373,234,Elmhurst,-73.87804,40.736076
55,11219,216,Brooklyn,-73.99629,40.632449
56,10304,213,Staten Island,-74.08991,40.60787
57,11236,212,Brooklyn,-73.90362,40.640527
58,11235,198,Brooklyn,-73.95019,40.583803
59,10011,198,New York,-74.00012,40.741012
60,11223,196,Brooklyn,-73.97229,40.598142
61,10474,187,Bronx,-73.88755,40.81321
62,10028,186,New York,-73.9541,40.776777
63,10002,178,New York,-73.987,40.71704
64,10301,176,Staten Island,-74.09432,40.631775
65,10024,174,New York,-73.97709,40.786387
66,11368,172,Corona,-73.85838,40.747106
67,11217,172,Brooklyn,-73.97783,40.68209
68,10461,170,Bronx,-73.83819,40.842917
69,10469,166,Bronx,-73.84735,40.868643
70,11377,164,Woodside,-73.90377,40.742869
71,10009,142,New York,-73.97864,40.727092999999996
72,10470,135,Bronx,-73.86072,40.900629
73,11229,133,Brooklyn,-73.94118,40.599256
74,10012,133,New York,-73.99834,40.72596
75,11224,128,Brooklyn,-73.99172,40.576589
76,11372,128,Jackson Heights,-73.88433,40.750146
77,10303,121,Staten Island,-74.16239,40.629448
78,10019,115,New York,-73.9856,40.765714
79,11418,114,Richmond Hill,-73.83365,40.698485
80,10037,114,New York,-73.93616,40.813385
81,10003,111,New York,-73.98935,40.732509
82,10473,110,Bronx,-73.85893,40.818514
83,11205,110,Brooklyn,-73.96529,40.694214
84,11209,102,Brooklyn,-74.0295,40.62327
85,11355,102,Flushing,-73.81941,40.749463
86,10128,96,New York,-73.95039,40.781894
87,11201,93,Brooklyn,-73.98907,40.695286
88,11432,92,Jamaica,-73.79324,40.714144
89,11435,91,Jamaica,-73.80986,40.700068
90,11412,90,Saint Albans,-73.75948,40.697188
91,11106,88,Astoria,-73.93147,40.762012
92,11375,84,Forest Hills,-73.84582,40.720535
93,10036,83,New York,-73.99019,40.759511
94,11104,82,Sunnyside,-73.91949,40.743796
95,11413,82,Springfield Gardens,-73.75141,40.670138
96,11433,81,Jamaica,-73.78734,40.696538
97,11231,75,Brooklyn,-74.00254,40.6788
98,10302,75,Staten Island,-74.13715,40.631127
99,11249,75,Brooklyn,-73.945032,40.645099
100,10001,74,New York,-73.99653,40.750742
101,10465,74,Bronx,-73.81752,40.825727
102,11434,72,Jamaica,-73.7727,40.674888
103,11102,71,Astoria,-73.92462,40.771286
104,11101,71,Long Island City,-73.93907,40.745341
105,10014,71,New York,-74.00532,40.734718
106,10016,70,New York,-73.97759,40.74618
107,11416,68,Ozone Park,-73.8503,40.683301
108,10310,68,Staten Island,-74.11551,40.63212
109,11105,67,Astoria,-73.90816,40.774686
110,11103,66,Astoria,-73.91091,40.762968
111,11427,61,Queens Village,-73.74782,40.728235
112,11374,60,Rego Park,-73.8609,40.724945
113,10010,59,New York,-73.98205,40.739022
114,11369,56,East Elmhurst,-73.87051,40.762854
115,10021,53,New York,-73.96045,40.76842
116,11429,50,Queens Village,-73.73903,40.708833
117,10023,50,New York,-73.98285,40.776099
118,11692,49,Arverne,-73.79568,40.592939
119,11356,44,College Point,-73.84366,40.785462
120,11234,43,Brooklyn,-73.9216,40.618561
121,11420,42,South Ozone Park,-73.81443,40.673138
122,10314,40,Staten Island,-74.14513,40.606337
123,11419,38,South Richmond Hill,-73.82216,40.688688
124,11423,36,Hollis,-73.76824,40.714261
125,11436,35,Jamaica,-73.79687,40.674146
126,10022,34,New York,-73.96732,40.759015
127,10013,34,New York,-74.00526,40.720666
128,11365,32,Fresh Meadows,-73.79209,40.738983
129,11694,30,Rockaway Park,-73.84721,40.57649
130,10312,27,Staten Island,-74.17628,40.543117
131,11415,27,Kew Gardens,-73.82973,40.706903
132,11228,26,Brooklyn,-74.01168,40.617563
133,11422,25,Rosedale,-73.73514,40.662538
134,11379,25,Middle Village,-73.87925,40.716028
135,10038,24,New York,-74.00365,40.709677
136,11421,24,Woodhaven,-73.85828,40.69087
137,11414,23,Howard Beach,-73.84321,40.658188
138,10306,22,Staten Island,-74.11785,40.569394
139,11354,22,Flushing,-73.82496,40.767969
140,11378,22,Maspeth,-73.90271,40.724096
141,11361,20,Bayside,-73.77392,40.763177
142,10305,18,Staten Island,-74.07503,40.599021
143,11364,16,Oakland Gardens,-73.75994,40.746718
144,10471,15,Bronx,-73.90347,40.900819
145,10018,12,New York,-73.99337,40.755101
146,10280,12,New York,-74.0178,40.707467
147,11693,9,Far Rockaway,-73.81978,40.596959
148,11239,9,Brooklyn,-73.87919,40.645848
149,11370,9,East Elmhurst,-73.89052,40.763015
150,10044,9,New York,-73.94917,40.762174
151,11411,8,Cambria Heights,-73.73574,40.693538
152,11417,8,Ozone Park,-73.84476,40.675534
153,10017,8,New York,-73.97231,40.752159
154,11358,7,Flushing,-73.79612,40.760522
155,10129,7,New York,-73.977182,40.780751
156,10475,6,Bronx,-73.82541,40.878522
157,11428,4,Queens Village,-73.74127,40.719981
158,11357,4,Whitestone,-73.80922,40.784453
159,10464,3,Bronx,-73.78903,40.857017
160,10309,2,Staten Island,-74.21304,40.529749
161,11004,2,Glen Oaks,-73.70956,40.742944
162,11366,2,Fresh Meadows,-73.79502,40.726137
163,10005,1,New York,-74.00858,40.706019
164,11360,1,Bayside,-73.78005,40.780386
165,11426,1,Bellerose,-73.72108,40.732239
